epoch,train_loss,lr
0,6.9426151514053345,5.5e-06
epoch,train_loss,lr
1,4.732493281364441,0.0055044
epoch,train_loss,lr
2,3.552012085914612,0.0110033
epoch,train_loss,lr
3,3.333782970905304,0.0165022
epoch,train_loss,lr
4,3.0595145225524902,0.022001100000000003
epoch,train_loss,lr
5,2.9693796038627625,0.02565784930203604
epoch,train_loss,lr
6,2.9574714303016663,0.02487398367265553
epoch,train_loss,lr
7,2.8861963152885437,0.02396824135031417
epoch,train_loss,lr
8,2.800317645072937,0.022950545837434305
epoch,train_loss,lr
9,2.886210560798645,0.021832047219021506
