epoch,train_loss,lr
0,7.726026217142741,5.5e-06
epoch,train_loss,lr
1,4.962360223134358,0.0055044
epoch,train_loss,lr
2,3.872874101003011,0.0110033
epoch,train_loss,lr
3,3.502528349558512,0.0165022
epoch,train_loss,lr
4,3.2934138774871826,0.022001100000000003
epoch,train_loss,lr
5,3.1823724110921225,0.02565784930203604
epoch,train_loss,lr
6,3.136317729949951,0.02487398367265553
epoch,train_loss,lr
7,2.984636147816976,0.02396824135031417
epoch,train_loss,lr
8,3.0581549803415933,0.022950545837434305
epoch,train_loss,lr
9,2.971207618713379,0.021832047219021506
epoch,train_loss,lr
10,2.927299896876017,0.020625000000000004
epoch,train_loss,lr
11,2.9163547356923423,0.019342628842292257
epoch,train_loss,lr
12,2.9466745058695474,0.017998983672655528
epoch,train_loss,lr
13,2.8601805369059243,0.01660878574874419
epoch,train_loss,lr
14,2.859853665033976,0.015187266369930237
epoch,train_loss,lr
15,2.852309465408325,0.013750000000000005
epoch,train_loss,lr
16,2.837019364039103,0.012312733630069768
epoch,train_loss,lr
17,2.8471827507019043,0.010891214251255808
epoch,train_loss,lr
18,2.825618267059326,0.009501016327344474
epoch,train_loss,lr
19,2.8473005294799805,0.00815737115770775
epoch,train_loss,lr
20,2.7949129740397134,0.006875000000000003
epoch,train_loss,lr
21,2.7787059942881265,0.005667952780978496
epoch,train_loss,lr
22,2.7868847052256265,0.0045494541625657045
epoch,train_loss,lr
23,2.787760098775228,0.0035317586496858323
epoch,train_loss,lr
24,2.7589529355367026,0.002626016327344474
epoch,train_loss,lr
25,2.7889623641967773,0.001842150697963968
epoch,train_loss,lr
26,2.803086837132772,0.0011887499574142367
epoch,train_loss,lr
27,2.7728895346323648,0.000672972900941639
epoch,train_loss,lr
28,2.7164719899495444,0.0003004704899101718
epoch,train_loss,lr
29,2.797017971674601,7.532393868624074e-05
